cost_per_mw,investment_cost,operating_cost,total_cost,lines_built,operating_savings,net_benefit,break_even
100000.0,0.0,138966.5896509375,138966.5896509375,0,2.9103830456733704e-11,2.9103830456733704e-11,True
129154.96650148826,0.0,138966.5896509375,138966.5896509375,0,2.9103830456733704e-11,2.9103830456733704e-11,True
166810.0537200059,0.0,138966.5896509375,138966.5896509375,0,2.9103830456733704e-11,2.9103830456733704e-11,True
215443.46900318822,0.0,138966.5896509375,138966.5896509375,0,2.9103830456733704e-11,2.9103830456733704e-11,True
278255.94022071257,0.0,138966.5896509375,138966.5896509375,0,2.9103830456733704e-11,2.9103830456733704e-11,True
359381.36638046254,0.0,138966.5896509375,138966.5896509375,0,2.9103830456733704e-11,2.9103830456733704e-11,True
464158.8833612782,0.0,138966.5896509375,138966.5896509375,0,2.9103830456733704e-11,2.9103830456733704e-11,True
599484.2503189408,0.0,138966.5896509375,138966.5896509375,0,2.9103830456733704e-11,2.9103830456733704e-11,True
774263.6826811278,0.0,138966.5896509375,138966.5896509375,0,2.9103830456733704e-11,2.9103830456733704e-11,True
1000000.0,0.0,138966.5896509375,138966.5896509375,0,2.9103830456733704e-11,2.9103830456733704e-11,True
