load_factor,load_reduction_pct,total_load,feasible,cost
1.0,0.0,3648.6607509999994,False,
0.975,2.500000000000002,3557.444232225,False,
0.95,5.000000000000004,3466.227713449999,False,
0.925,7.499999999999996,3375.0111946749994,False,
0.9,9.999999999999998,3283.794675900001,False,
0.875,12.5,3192.578157125,False,
0.85,15.000000000000002,3101.3616383499993,False,
0.825,17.500000000000004,3010.145119575,False,
0.8,19.999999999999996,2918.928600800001,False,
0.775,22.499999999999996,2827.712082025,False,
0.75,25.0,2736.495563249999,False,
0.725,27.500000000000004,2645.279044475,False,
0.7,30.000000000000004,2554.0625257,False,
0.675,32.49999999999999,2462.846006925,False,
0.6499999999999999,35.00000000000001,2371.62948815,False,
0.625,37.5,2280.4129693750006,False,
0.6,40.0,2189.196450599999,False,
0.575,42.50000000000001,2097.979931825,False,
0.55,44.99999999999999,2006.7634130500003,False,
0.5249999999999999,47.50000000000001,1915.546894274999,False,
0.5,50.0,1824.3303754999997,False,
