period,solved,total_load_mw,total_generation_mw,objective_cost,operating_cost,load_shed_mw,load_shed_pct,load_shed_cost,availability_factor,stress_multiplier
1,True,4765.4432686,2909.96,92833403.29351437,59239.863514464,1855.4832685999984,38.93621566803596,92774163.42999992,0.2,1.4
2,True,4669.061735799999,2909.96,88014326.65351395,59239.863514464,1759.1017357999897,37.67570092963409,87955086.78999949,0.2,1.4
3,True,4642.880627,2909.96,86705271.21351413,59239.863514464,1732.9206269999934,37.32425548316803,86646031.34999967,0.2,1.4
4,True,4658.633600599998,2909.96,87492919.89351422,59239.863514464,1748.6736005999949,37.53619087740187,87433680.02999975,0.2,1.4
5,True,4830.005977999999,2909.96,96061538.76351435,59239.863514464,1920.0459779999978,39.75245551963162,96002298.89999989,0.2,1.4
6,True,5108.1250514,2909.96,109967492.43351425,59239.863514464,2198.1650513999957,43.03271805762738,109908252.56999978,0.2,1.4
7,True,5399.902256,2909.96,124556352.66351455,59239.863514464,2489.9422560000016,46.11087641879719,124497112.80000009,0.2,1.4
8,True,5475.788626,2909.96,128350671.16351467,59239.863514464,2565.828626000004,46.85770034688706,128291431.3000002,0.2,1.4
9,True,5587.786253000001,2909.96,133950552.51351447,59239.863514464,2677.826253,47.9228469335654,133891312.65,0.2,1.4
10,True,5672.809724399998,2909.96,138201726.08351454,59239.863514464,2762.849724400002,48.70337378876607,138142486.2200001,0.2,1.4
11,True,5717.776951600001,2909.96,140450087.44351438,59239.863514464,2807.8169515999984,49.1067940454426,140390847.57999992,0.2,1.4
12,True,5666.026799999997,2909.96,137862579.86351502,59239.863514464,2756.0668000000114,48.641965477466734,137803340.00000057,0.2,1.4
